episode,reward,success,epsilon,steps
337,1.0,1,0.1846622876013121,14
338,1.0,1,0.18373897616330553,12
339,0.0,1,0.182820281282489,3
340,0.0,1,0.18190617987607657,6
341,0.0,1,0.18099664897669618,20
342,0.0,1,0.1800916657318127,4
343,0.0,1,0.17919120740315364,15
344,0.0,1,0.17829525136613786,21
345,0.0,1,0.17740377510930716,3
346,0.0,1,0.17651675623376062,8
347,0.0,1,0.1756341724525918,23
348,0.0,1,0.17475600159032884,11
349,0.0,1,0.17388222158237718,20
350,0.0,1,0.1730128104744653,14
351,1.0,1,0.17214774642209296,15
352,0.0,1,0.1712870076899825,14
353,0.0,1,0.17043057265153258,6
354,0.0,1,0.16957841978827493,20
355,0.0,1,0.16873052768933355,10
356,0.0,1,0.1678868750508869,35
357,0.0,1,0.16704744067563246,6
358,0.0,1,0.1662122034722543,3
359,0.0,1,0.16538114245489302,15
360,0.0,1,0.16455423674261854,39
361,0.0,1,0.16373146555890544,5
362,0.0,1,0.16291280823111093,11
363,0.0,1,0.16209824418995536,12
364,0.0,1,0.16128775296900558,16
365,0.0,1,0.16048131420416054,11
366,1.0,1,0.15967890763313974,17
367,0.0,1,0.15888051309497406,22
368,0.0,1,0.1580861105294992,12
369,0.0,1,0.1572956799768517,44
370,0.0,1,0.15650920157696743,10
371,0.0,1,0.1557266555690826,35
372,0.0,1,0.1549480222912372,23
373,0.0,1,0.15417328217978102,6
374,0.0,1,0.1534024157688821,54
375,0.0,1,0.1526354036900377,2
376,0.0,1,0.1518722266715875,9
377,0.0,1,0.15111286553822956,26
378,0.0,1,0.15035730121053842,9
379,0.0,1,0.14960551470448571,22
380,0.0,1,0.14885748713096328,3
381,1.0,1,0.14811319969530845,63
382,1.0,1,0.1473726336968319,25
383,0.0,1,0.14663577052834775,11
384,0.0,1,0.14590259167570602,10
385,0.0,1,0.1451730787173275,63
386,1.0,1,0.14444721332374086,22
387,0.0,1,0.14372497725712216,70
388,0.0,1,0.14300635237083656,5
389,1.0,1,0.14229132060898236,19
390,0.0,1,0.14157986400593744,11
391,0.0,1,0.14087196468590776,6
392,0.0,1,0.14016760486247823,15
393,0.0,1,0.13946676683816583,60
394,1.0,1,0.138769433003975,23
395,0.0,1,0.13807558583895513,5
396,0.0,1,0.13738520790976036,19
397,0.0,1,0.13669828187021155,32
398,0.0,1,0.13601479046086049,31
399,0.0,1,0.1353347165085562,8
400,0.0,1,0.1346580429260134,12
401,1.0,1,0.13398475271138335,7
402,0.0,1,0.13331482894782642,28
403,0.0,1,0.13264825480308728,4
404,0.0,1,0.13198501352907185,10
405,0.0,1,0.1313250884614265,3
406,1.0,1,0.13066846301911936,41
407,0.0,1,0.13001512070402377,65
408,0.0,1,0.12936504510050365,16
409,0.0,1,0.12871821987500112,12
410,0.0,1,0.12807462877562611,6
411,0.0,1,0.12743425563174798,26
412,0.0,1,0.12679708435358925,16
413,0.0,1,0.1261630989318213,6
414,0.0,1,0.1255322834371622,3
415,0.0,1,0.12490462201997637,26
416,0.0,1,0.1242800989098765,12
417,0.0,1,0.12365869841532712,40
418,0.0,1,0.12304040492325048,27
